candidate_id,fdl_path,s2p_path,accepted,reject_reason,r0,W,S,N,pitch,outer_radius,fill_ratio,L_3p75_nH,Q_3p75,Q_3p0,Q_4p5
LQ_N3p5_R64_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R64_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R64_W10p4_S14.s2p,1,,64.0,10.4,14.0,3.5,24.4,149.39999999999998,0.42622950819672134,3.3548889676479554,36.82045906289613,32.089072765487465,40.86793605306187
LQ_N3p5_R64_W10p4_S15,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R64_W10p4_S15.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R64_W10p4_S15.s2p,1,,64.0,10.4,15.0,3.5,25.4,152.89999999999998,0.40944881889763785,3.3909674965367067,36.68721320653734,32.0594513954958,40.61358214292935
LQ_N3p5_R72_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R72_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R72_W10p4_S14.s2p,1,,72.0,10.4,14.0,3.5,24.4,157.39999999999998,0.42622950819672134,3.7419266545220666,37.91193963381973,33.27026287245642,42.1570519397644
LQ_N3p5_R72_W10p4_S15,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R72_W10p4_S15.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R72_W10p4_S15.s2p,1,,72.0,10.4,15.0,3.5,25.4,160.89999999999998,0.40944881889763785,3.777236556403568,38.6368348451666,33.821970698926094,42.68934459842802
LQ_N3p5_R80_W10p4_S14,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R80_W10p4_S14.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R80_W10p4_S14.s2p,1,,80.0,10.4,14.0,3.5,24.4,165.39999999999998,0.42622950819672134,4.149182679786426,39.50933100007732,34.785046241736,43.165559209179385
LQ_N3p5_R80_W10p4_S15,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N3p5_R80_W10p4_S15.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N3p5_R80_W10p4_S15.s2p,1,,80.0,10.4,15.0,3.5,25.4,168.89999999999998,0.40944881889763785,4.181310060317595,39.71833168382643,35.06938681747754,43.541856997958774
LQ_N4p5_R60_W10p4_S15,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R60_W10p4_S15.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R60_W10p4_S15.s2p,1,,60.0,10.4,15.0,4.5,25.4,174.3,0.40944881889763785,5.516376632690486,38.39385873188558,34.50717087449557,41.24707641118729
LQ_N4p5_R60_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R60_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R60_W11p2_S16.s2p,1,,60.0,11.2,16.0,4.5,27.2,182.39999999999998,0.4117647058823529,5.625919590095862,39.422169870694205,35.321865868573845,42.330035886716054
LQ_N4p5_R68_W10p4_S15,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R68_W10p4_S15.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R68_W10p4_S15.s2p,0,"L_3p75_nH outside [1.0, 6.0]",68.0,10.4,15.0,4.5,25.4,182.3,0.40944881889763785,6.179972430772388,39.0860021520044,35.90942125407555,41.191480918413816
LQ_N4p5_R68_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R68_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R68_W11p2_S16.s2p,0,"L_3p75_nH outside [1.0, 6.0]",68.0,11.2,16.0,4.5,27.2,190.39999999999998,0.4117647058823529,6.2903546841559,39.96850110450316,36.370723489708624,42.66076591789716
LQ_N4p5_R76_W10p4_S15,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R76_W10p4_S15.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R76_W10p4_S15.s2p,0,"L_3p75_nH outside [1.0, 6.0]",76.0,10.4,15.0,4.5,25.4,190.3,0.40944881889763785,6.885785783542296,41.93206328763386,37.8862696732569,43.517023413052776
LQ_N4p5_R76_W11p2_S16,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\fdl\LQ_N4p5_R76_W11p2_S16.py,C:\Users\mechrevo\Desktop\single_inductor_lq_surrogate\runs\v1\s2p\LQ_N4p5_R76_W11p2_S16.s2p,0,"L_3p75_nH outside [1.0, 6.0]",76.0,11.2,16.0,4.5,27.2,198.39999999999998,0.4117647058823529,6.996248446001663,40.18251836726851,37.2028788965801,42.14571600986458
